file,toolchain,mode,build_cold_s,build_warm_s,size_bytes,run_s,vm_exit,bin_exit,output_match
tests/fixtures/syntax/match.zz,base,p,2.229,0.060,22840,0.013,0,0,yes
tests/fixtures/syntax/match.zz,new,default,1.481,0.071,173312,0.013,0,0,yes
tests/fixtures/syntax/match.zz,new,p,2.673,0.065,18768,0.013,0,0,yes
tests/fixtures/syntax/pipelines.zz,base,default,4.661,0.068,26192,0.012,0,0,yes
tests/fixtures/syntax/pipelines.zz,base,p,2.187,0.071,22840,0.015,0,0,yes
tests/fixtures/syntax/pipelines.zz,new,default,1.469,0.066,168856,0.013,0,0,yes
tests/fixtures/syntax/pipelines.zz,new,p,2.721,0.072,18768,0.013,0,0,yes
tests/fixtures/syntax/arrays.zz,base,default,4.729,0.068,30728,0.012,0,0,yes
tests/fixtures/syntax/arrays.zz,base,p,2.733,0.066,31040,0.013,0,0,yes
tests/fixtures/syntax/arrays.zz,new,default,1.464,0.071,178576,0.014,0,0,yes
tests/fixtures/syntax/arrays.zz,new,p,2.814,0.071,22872,0.014,0,0,yes
tests/fixtures/syntax/fstrings.zz,base,default,4.706,0.065,39024,0.015,0,0,yes
tests/fixtures/syntax/fstrings.zz,base,p,3.692,0.064,51520,0.014,0,0,yes
tests/fixtures/syntax/fstrings.zz,new,default,1.475,0.067,182024,0.012,0,0,yes
tests/fixtures/syntax/fstrings.zz,new,p,3.200,0.067,35152,0.013,0,0,yes
tests/fixtures/syntax/operators.zz,base,default,4.762,0.068,26264,0.012,0,0,yes
tests/fixtures/syntax/operators.zz,base,p,2.388,0.065,26936,0.013,0,0,yes
tests/fixtures/syntax/operators.zz,new,default,1.458,0.069,172792,0.014,0,0,yes
tests/fixtures/syntax/operators.zz,new,p,2.705,0.065,18768,0.013,0,0,yes
tests/fixtures/syntax/struct_impl.zz,base,default,0.455,0,0,0,0,-1,build-fail
tests/fixtures/syntax/struct_impl.zz,base,p,0.441,0,0,0,0,-1,build-fail
tests/fixtures/syntax/struct_impl.zz,new,default,0.931,0,0,0,0,-1,build-fail
tests/fixtures/syntax/struct_impl.zz,new,p,0.898,0,0,0,0,-1,build-fail
tests/fixtures/syntax/struct_array_push.zz,base,default,0.446,0,0,0,0,-1,build-fail
tests/fixtures/syntax/struct_array_push.zz,base,p,0.446,0,0,0,0,-1,build-fail
tests/fixtures/syntax/struct_array_push.zz,new,default,0.904,0,0,0,0,-1,build-fail
tests/fixtures/syntax/struct_array_push.zz,new,p,0.886,0,0,0,0,-1,build-fail
tests/fixtures/syntax/pipe_elvis.zz,base,default,4.650,0.067,26352,0.013,0,0,yes
tests/fixtures/syntax/pipe_elvis.zz,base,p,2.185,0.067,22840,0.012,0,0,yes
tests/fixtures/syntax/pipe_elvis.zz,new,default,1.452,0.063,173576,0.012,0,0,yes
tests/fixtures/syntax/pipe_elvis.zz,new,p,2.625,0.065,18768,0.014,0,0,yes
tests/fixtures/syntax/multiline_strings.zz,base,default,4.676,0.069,39024,0.012,0,0,yes
tests/fixtures/syntax/multiline_strings.zz,base,p,3.491,0.065,51512,0.013,0,0,yes
tests/fixtures/syntax/multiline_strings.zz,new,default,1.427,0.069,178136,0.013,0,0,yes
tests/fixtures/syntax/multiline_strings.zz,new,p,2.917,0.068,26960,0.014,0,0,yes
tests/fixtures/syntax/dicts.zz,base,default,4.683,0.066,34752,0.012,0,0,NO(exit=0)
tests/fixtures/syntax/dicts.zz,base,p,3.236,0.073,47416,0.015,0,0,NO(exit=0)
tests/fixtures/syntax/dicts.zz,new,default,1.415,0.066,173712,0.013,0,0,NO(exit=0)
tests/fixtures/syntax/dicts.zz,new,p,2.795,0.067,22864,0.013,0,0,NO(exit=0)
tests/fixtures/syntax/dict_iteration.zz,base,default,4.698,0.068,34800,0.012,0,0,yes
tests/fixtures/syntax/dict_iteration.zz,base,p,3.248,0.065,47416,0.016,0,0,yes
tests/fixtures/syntax/dict_iteration.zz,new,default,1.469,0.066,173744,0.014,0,0,yes
tests/fixtures/syntax/dict_iteration.zz,new,p,2.755,0.070,22864,0.014,0,0,yes
tests/fixtures/syntax/destructuring.zz,base,default,4.676,0.065,22016,0.013,0,0,NO(exit=0)
tests/fixtures/syntax/destructuring.zz,base,p,2.146,0.070,22848,0.014,0,0,NO(exit=0)
tests/fixtures/syntax/destructuring.zz,new,default,1.450,0.073,168272,0.014,0,0,NO(exit=0)
tests/fixtures/syntax/destructuring.zz,new,p,2.651,0.067,18768,0.013,0,0,NO(exit=0)
tests/fixtures/syntax/empty_infer.zz,base,default,4.715,0.068,30608,0.013,0,0,yes
tests/fixtures/syntax/empty_infer.zz,base,p,2.432,0.066,26936,0.014,0,0,yes
